Datetime,Precip. Rate.,Precip. Accum.
2022-09-01 00:04:00,0.00ʡin,0.00ʡin
2022-09-01 00:07:00,0.00ʡin,0.00ʡin
2022-09-01 01:04:00,0.00ʡin,0.00ʡin
2022-09-01 01:09:00,0.00ʡin,0.00ʡin
2022-09-01 01:14:00,0.00ʡin,0.00ʡin
2022-09-01 01:19:00,0.00ʡin,0.00ʡin
2022-09-01 01:21:00,0.00ʡin,0.00ʡin
2022-09-01 01:39:00,0.00ʡin,0.00ʡin
2022-09-01 01:44:00,0.00ʡin,0.00ʡin
2022-09-01 01:48:00,0.00ʡin,0.00ʡin
2022-09-01 02:04:00,0.00ʡin,0.00ʡin
2022-09-01 02:09:00,0.00ʡin,0.00ʡin
2022-09-01 02:12:00,0.00ʡin,0.00ʡin
2022-09-01 02:34:00,0.00ʡin,0.00ʡin
2022-09-01 02:39:00,0.00ʡin,0.00ʡin
2022-09-01 02:44:00,0.00ʡin,0.00ʡin
2022-09-01 02:49:00,0.00ʡin,0.00ʡin
2022-09-01 02:54:00,0.00ʡin,0.00ʡin
2022-09-01 02:59:00,0.00ʡin,0.00ʡin
2022-09-01 03:04:00,0.00ʡin,0.00ʡin
2022-09-01 03:08:00,0.00ʡin,0.00ʡin
2022-09-01 03:19:00,0.00ʡin,0.00ʡin
2022-09-01 03:24:00,0.00ʡin,0.00ʡin
2022-09-01 03:29:00,0.00ʡin,0.00ʡin
2022-09-01 03:34:00,0.00ʡin,0.00ʡin
2022-09-01 03:36:00,0.00ʡin,0.00ʡin
2022-09-01 04:39:00,0.00ʡin,0.00ʡin
2022-09-01 04:44:00,0.00ʡin,0.00ʡin
2022-09-01 04:49:00,0.00ʡin,0.00ʡin
2022-09-01 04:54:00,0.00ʡin,0.00ʡin
2022-09-01 04:59:00,0.00ʡin,0.00ʡin
2022-09-01 05:04:00,0.00ʡin,0.00ʡin
2022-09-01 05:09:00,0.00ʡin,0.00ʡin
2022-09-01 05:14:00,0.00ʡin,0.00ʡin
2022-09-01 05:24:00,0.00ʡin,0.00ʡin
2022-09-01 05:29:00,0.00ʡin,0.00ʡin
2022-09-01 05:34:00,0.00ʡin,0.00ʡin
2022-09-01 05:39:00,0.00ʡin,0.00ʡin
2022-09-01 05:44:00,0.00ʡin,0.00ʡin
2022-09-01 05:49:00,0.00ʡin,0.00ʡin
2022-09-01 05:54:00,0.00ʡin,0.00ʡin
2022-09-01 05:59:00,0.00ʡin,0.00ʡin
2022-09-01 06:04:00,0.00ʡin,0.00ʡin
2022-09-01 06:09:00,0.00ʡin,0.00ʡin
2022-09-01 06:14:00,0.00ʡin,0.00ʡin
2022-09-01 06:19:00,0.00ʡin,0.00ʡin
2022-09-01 06:24:00,0.00ʡin,0.00ʡin
2022-09-01 06:28:00,0.00ʡin,0.00ʡin
2022-09-01 06:34:00,0.00ʡin,0.00ʡin
2022-09-01 06:39:00,0.00ʡin,0.00ʡin
2022-09-01 06:42:00,0.00ʡin,0.00ʡin
2022-09-01 06:59:00,0.00ʡin,0.00ʡin
2022-09-01 07:04:00,0.00ʡin,0.00ʡin
2022-09-01 07:09:00,0.00ʡin,0.00ʡin
2022-09-01 07:14:00,0.00ʡin,0.00ʡin
2022-09-01 07:16:00,0.00ʡin,0.00ʡin
2022-09-01 07:24:00,0.00ʡin,0.00ʡin
2022-09-01 07:29:00,0.00ʡin,0.00ʡin
2022-09-01 07:33:00,0.00ʡin,0.00ʡin
2022-09-01 07:39:00,0.00ʡin,0.00ʡin
2022-09-01 07:44:00,0.00ʡin,0.00ʡin
2022-09-01 07:49:00,0.00ʡin,0.00ʡin
2022-09-01 08:29:00,0.00ʡin,0.00ʡin
2022-09-01 08:34:00,0.00ʡin,0.00ʡin
2022-09-01 08:39:00,0.00ʡin,0.00ʡin
2022-09-01 08:44:00,0.00ʡin,0.00ʡin
2022-09-01 08:49:00,0.00ʡin,0.00ʡin
2022-09-01 08:54:00,0.00ʡin,0.00ʡin
2022-09-01 08:59:00,0.00ʡin,0.00ʡin
2022-09-01 09:04:00,0.00ʡin,0.00ʡin
2022-09-01 09:08:00,0.00ʡin,0.00ʡin
2022-09-01 09:14:00,0.00ʡin,0.00ʡin
2022-09-01 09:19:00,0.00ʡin,0.00ʡin
2022-09-01 09:24:00,0.00ʡin,0.00ʡin
2022-09-01 09:29:00,0.00ʡin,0.00ʡin
2022-09-01 09:34:00,0.00ʡin,0.00ʡin
2022-09-01 09:39:00,0.00ʡin,0.00ʡin
2022-09-01 09:44:00,0.00ʡin,0.00ʡin
2022-09-01 09:49:00,0.00ʡin,0.00ʡin
2022-09-01 09:54:00,0.00ʡin,0.00ʡin
2022-09-01 09:59:00,0.00ʡin,0.00ʡin
2022-09-01 10:04:00,0.00ʡin,0.00ʡin
2022-09-01 10:09:00,0.00ʡin,0.00ʡin
2022-09-01 10:14:00,0.00ʡin,0.00ʡin
2022-09-01 10:19:00,0.00ʡin,0.00ʡin
2022-09-01 10:54:00,0.00ʡin,0.00ʡin
2022-09-01 10:59:00,0.00ʡin,0.00ʡin
2022-09-01 11:04:00,0.00ʡin,0.00ʡin
2022-09-01 11:09:00,0.00ʡin,0.00ʡin
2022-09-01 11:49:00,0.00ʡin,0.00ʡin
2022-09-01 11:54:00,0.00ʡin,0.00ʡin
2022-09-01 11:59:00,0.00ʡin,0.00ʡin
2022-09-01 12:04:00,0.00ʡin,0.00ʡin
2022-09-01 12:09:00,0.00ʡin,0.00ʡin
2022-09-01 12:14:00,0.00ʡin,0.00ʡin
2022-09-01 12:18:00,0.00ʡin,0.00ʡin
2022-09-01 12:29:00,0.00ʡin,0.00ʡin
2022-09-01 12:34:00,0.00ʡin,0.00ʡin
2022-09-01 12:39:00,0.00ʡin,0.00ʡin
2022-09-01 12:43:00,0.00ʡin,0.00ʡin
